"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,"Revisão e/ou copydesque, Locação de imóvel",Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,funcionário/a de uma empresa ou agência de tradução.,"Cliente direto, Agência de tradução brasileira, Empresa onde sou funcionário/a",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,"Aceito se é uma área que já conheço., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos",Mais da metade do tempo,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, MemoQ","Sim, Google Tradutor.",Uso para certos tipos de texto.,masculino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,Ensino de línguas,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução., Sim, fiz a faculdade de tradução na Argentina.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ), Plataforma online (sem ser especializada em tradução), Grupo do Facebook ou similar, Colega",português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, Wordfast","Sim, DeepL.",Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,amarela,Sem mencionar
Tradutor e Intérprete de Conferência,mais de 20 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,"Sintra, AIIC (Interpretação)",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês.","todos, Declino de alguns textos, mais pela qualidade do original do que pela área do conhecimento.",Raramente ou nunca,Raramente...,Discordo totalmente.,Discordo parcialmente.,"Dada a minha experiência e gabarito comprovado, eu estaria mais disposto a dar cursos do que a fazer cursos. (Desculpe a falta de modéstia; estou só sendo objetivo.)",Não uso.,"Quando o cliente exigiu, uma ou outra vez.)",Quando o cliente exigiu.),masculino,56 a 65 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,"Ensino de línguas, Interpretação",Pós-graduação lato sensu (especialização),"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Sintra,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Agência de tradução brasileira,português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, Wordfast, Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,parda,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,"Ensino de línguas, Interpretação",Pós-graduação lato sensu (especialização),"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Sintra,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Agência de tradução brasileira,português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, Wordfast, Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,parda,Brasil
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Não,Ensino de línguas,Doutorado,"Sim, fiz doutorado em tradução ou letras com ênfase em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Grupo do Facebook ou similar",português,inglês,Faço versão somente para o inglês.,Mais da metade do tempo,Aceito se o prazo estiver folgado.,"acadêmicos - humanas e artes, audiovisual (legendagem, dublagem), literário",Sempre ou quase sempre,é brasileira que tem experiência na tradução para o inglês.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, Wordfast, Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,46 a 55 anos,branca,Espanha
XXX = gerente de fornecedores em uma empresa de tradução ,de 10 a 15 anos,Não,Gerente de fornecedores em uma empresa de tradução,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,"tradutor/a autônomo/a com CNPJ., funcionário/a de uma empresa ou agência de tradução.","Agência de tradução do exterior, Empresa onde sou funcionário/a, Colega",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, Wordfast, Sim, MemoQ, Sim,  OmegaT","Sim, Google Tradutor., Sim, DeepL.",Uso/Já usei ao traduzir para a língua nativa.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Sim, Wordfast, Sim, MemoQ",Não.,"Uso/Já usei ao traduzir para a língua nativa., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Interpretação,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"ABRATES, Associação suíça de tradutores e intérpretes",Sim,Sim,"tradutor/a autônomo/a sem CNPJ., atuo na Suíça","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Colega",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque gosto de fazer a tradução para o inglês.",acadêmicos - ciências e exatas,Menos da metade do tempo,é estrangeira especializada no assunto da tradução.,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, SDL Trados, Sim, MemoQ, Memsource","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto.",feminino,46 a 55 anos,branca,Suíça
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,Revisão e/ou copydesque,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Editora",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, jurídicos, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso não fosse muito caro., Não tenho interesse em fazer curso de versão.","Sim, SDL Trados","Sim, Google Tradutor., Sim, Microsoft Bing., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,Interpretação,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,"Sintra, ATA",Sim,Sim,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas",Raramente ou nunca,,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse apenas prático (sem conteúdo teórico).",Não uso.,Não.,,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 1 a 3 anos,Sim,Revisão e/ou copydesque,Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Editora",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso não fosse muito caro.",Não uso.,Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 1 a 3 anos,Sim,,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, MemoQ, Smartcat","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",masculino,até 25 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 3 a 5 anos,Sim,Revisão e/ou copydesque,Ensino médio,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,Agência de tradução brasileira,português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","setor cultural, audiovisual (legendagem, dublagem)",Sempre ou quase sempre,trabalha na mesma empresa/agência que você.,Concordo parcialmente,Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, SDL Trados, Sim, MemoQ","Sim, Google Tradutor.",Uso quando estou com pouco tempo.,masculino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",até 1 ano,Não,"Redação para web, comunicação em projetos sociais",Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","audiovisual (legendagem, dublagem)",Menos da metade do tempo,é nativa do inglês mas não conhece (bem) o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,Não.,,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,"Revisão e/ou copydesque, edição",Mestrado,"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,Editora,português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito se o cliente for importante para mim",marketing,Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português., é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concordo parcialmente,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, MemoQ, Smartcat","Sim, Google Tradutor., Sim, DeepL.","Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a autônomo/a sem CNPJ.","Agência de tradução brasileira, Editora",português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito se for um bom cliente",acadêmicos - humanas e artes,Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso)., é brasileira que tem experiência na tradução para o inglês., é professor de inglês","Depende (nem concordo, nem discordo)",Concordo plenamente.,Não tenho interesse em fazer curso de versão.,"Sim, MemoQ",Não.,"Uso para checar trechos que tive dificuldade de entender., Uso quando traduzo textos traduzidos a partir de uma terceira língua que não falo",masculino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,Revisão e/ou copydesque,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque gosto de fazer a tradução para o inglês.","acadêmicos - humanas e artes, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, MemoQ","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,parda,Brasil
"""Sou XXX"".",até 1 ano,Não,Revisão e/ou copydesque,Ensino superior.,Não fiz.,Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Sim,funcionário/a de uma empresa não especializada em tradução.,"Cliente direto, Empresa onde sou funcionário/a, Editora",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
